LSOA2001,PTAI2015,PTAL
E01000449,7.69075,2
E01000450,3.65512,1b
E01000451,4.68981,1b
E01000452,3.56929,1b
E01000453,3.33074,1b
E01000454,5.20112,2
E01000455,6.20344,2
E01000456,3.1968,1b
E01000457,14.9432,3
E01000458,6.24632,2
E01000459,8.92433,2
E01000460,2.84096,1b
E01000461,7.33343,2
E01000462,13.3928,3
E01000463,4.46658,1b
E01000464,7.31605,2
E01000465,5.52304,2
E01000466,1.54537,1a
E01000467,5.69731,2
E01000468,1.13976,1a
E01000469,6.27424,2
E01000470,6.99926,2
E01000471,2.37083,1a
E01000472,10.2867,3
E01000473,13.5286,3
E01000474,6.01557,2
E01000475,11.3146,3
E01000476,4.26955,1b
E01000477,4.59434,1b
E01000478,10.8191,3
E01000479,8.773,2
E01000480,8.53172,2
E01000481,10.7994,3
E01000482,13.8398,3
E01000483,4.48723,1b
E01000484,4.3358,1b
E01000485,6.62453,2
E01000486,1.89211,1a
E01000487,9.2071,2
E01000488,11.5861,3
E01000489,9.81995,2
E01000490,18.8376,4
E01000491,8.22267,2
E01000492,10.2217,3
E01000493,12.1156,3
E01000494,12.7655,3
E01000495,16.5721,4
E01000496,5.94976,2
E01000497,9.96727,2
E01000498,2.96036,1b
E01000499,8.17823,2
E01000500,7.17495,2
E01000501,7.46656,2
E01000502,5.22546,2
E01000503,4.5231,1b
E01000504,8.5704,2
E01000505,6.07824,2
E01000506,12.7783,3
E01000507,8.57724,2
E01000508,9.03168,2
E01000509,7.72483,2
E01000510,13.5329,3
E01000511,14.7046,3
E01000512,11.997,3
E01000513,7.65281,2
E01000514,6.20177,2
E01000515,8.24797,2
E01000516,7.96554,2
E01000517,6.82001,2
E01000518,5.50147,2
E01000519,2.01306,1a
E01000520,7.16304,2
E01000521,18.5584,4
E01000522,2.0365,1a
E01000523,13.518,3
E01000524,22.598,5
E01000525,21.9764,5
E01000526,5.20336,2
E01000527,5.29119,2
E01000528,7.39937,2
E01000529,24.0774,5
E01000530,9.06453,2
E01000531,12.2556,3
E01000532,14.5751,3
E01000533,13.4581,3
E01000534,6.49968,2
E01000535,17.2412,4
E01000536,12.9501,3
E01000537,5.33009,2
E01000538,1.64155,1a
E01000539,7.60809,2
E01000540,6.36183,2
E01000541,8.28375,2
E01000542,3.9089,1b
E01000543,9.25994,2
E01000544,16.7987,4
E01000545,20.2839,5
E01000546,17.021,4
E01000547,17.4705,4
E01000548,25.8907,6a
E01000549,19.1778,4
E01000550,27.0788,6a
E01000551,21.5508,5
E01000552,22.5592,5
E01000553,16.9757,4
E01000554,6.02893,2
